PROJECT	DDE_NUM	DDE_TYPE	DATE_CREATION	DATE_EN_AFFINAGE	DELAI	DDE_STATUT	DATE_CREATION	DATE_LAST_UPDATE
BOA	BOA-1195	Story	2016-07-01 09:00:20	NULL	NULL	Testé	2016-07-01 09:00:20	2017-02-10 13:38:04
EXTR	EXTR-280	Bogue	2016-07-05 08:42:21	2016-11-09 16:35:13	127	Vérifié	2016-07-05 08:42:21	2017-02-22 14:09:44
WEB	WEB-224	Story	2016-07-05 10:43:00	NULL	NULL	Nouveau	2016-07-05 10:43:00	2016-12-20 10:10:35
WEB	WEB-225	Story	2016-07-05 10:48:41	NULL	NULL	Nouveau	2016-07-05 10:48:41	2016-12-20 10:10:35
EXTR	EXTR-597	Story	2016-07-05 10:54:35	NULL	NULL	Fermé	2016-07-05 10:54:35	2016-11-15 14:05:11
BEA	BEA-1059	Story	2016-07-05 13:11:58	NULL	NULL	Nouveau	2016-07-05 13:11:58	2016-09-09 11:05:15
BEA	BEA-72	Story	2016-07-05 15:46:23	NULL	NULL	Vérifié	2016-07-05 15:46:23	2016-12-19 10:41:09
BEA	BEA-354	Story	2016-07-06 10:27:46	NULL	NULL	Fermé	2016-07-06 10:27:46	2016-11-15 14:05:17
BOA	BOA-1196	Bogue	2016-07-06 10:48:16	2016-11-28 17:51:22	145	Fermé	2016-07-06 10:48:16	2016-11-29 09:21:23
BEA	BEA-1060	Bogue	2016-07-06 11:23:55	NULL	NULL	Fermé	2016-07-06 11:23:55	2016-10-20 10:28:43
EXTR	EXTR-24	Bogue	2016-07-06 11:55:58	2016-11-09 15:54:50	126	En Affinage	2016-07-06 11:55:58	2016-12-15 09:49:59
EXTR	EXTR-281	Story	2016-07-06 14:05:49	2016-11-08 11:39:22	125	En Affinage	2016-07-06 14:05:49	2017-02-15 08:58:07
EXTR	EXTR-598	Story	2016-07-06 15:38:58	2016-11-09 16:26:27	126	En Affinage	2016-07-06 15:38:58	2016-11-09 16:26:27
EXTR	EXTR-599	Story	2016-07-06 16:48:35	2016-12-07 13:50:34	154	En Affinage	2016-07-06 16:48:35	2017-02-15 08:58:06
SYR	SYR-74	Story	2016-07-06 17:06:06	NULL	NULL	Nouveau	2016-07-06 17:06:06	2016-09-09 11:10:59
BEA	BEA-1061	Story	2016-07-06 18:05:24	2017-02-09 20:19:04	218	En Affinage	2016-07-06 18:05:24	2017-02-09 20:19:04
BEA	BEA-1062	Bogue	2016-07-07 11:38:35	NULL	NULL	Fermé	2016-07-07 11:38:35	2016-11-15 14:05:16
BEA	BEA-1063	Story	2016-07-07 14:32:57	NULL	NULL	Fermé	2016-07-07 14:32:57	2016-09-09 11:04:22
BEA	BEA-1064	Story	2016-07-07 14:42:46	NULL	NULL	Fermé	2016-07-07 14:42:46	2016-10-18 09:03:57
BOA	BOA-1197	Story	2016-07-08 07:56:38	NULL	NULL	Nouveau	2016-07-08 07:56:38	2016-09-09 11:07:57
BOA	BOA-1198	Story	2016-07-08 17:00:07	2016-11-15 14:32:59	130	Testé	2016-07-08 17:00:07	2016-12-29 11:02:41
BEA	BEA-1065	Bogue	2016-07-11 09:46:14	NULL	NULL	Fermé	2016-07-11 09:46:14	2016-11-15 14:05:12
BEA	BEA-355	Story	2016-07-11 12:53:57	NULL	NULL	Fermé	2016-07-11 12:53:57	2016-11-15 14:05:09
BEA	BEA-1066	Story	2016-07-11 15:51:55	NULL	NULL	Fermé	2016-07-11 15:51:55	2016-10-26 18:48:46
BEA	BEA-1067	Story	2016-07-11 16:37:09	NULL	NULL	Fermé	2016-07-11 16:37:09	2016-10-26 18:48:37
